readable_timestamp,timestamp,open,high,low,close,volume
2025-09-08 20:00:00 UTC,1757361600000,877.64,878.16,877.36,878.09,272.657
2025-09-08 20:01:00 UTC,1757361660000,878.09,878.1,877.92,878.09,32.779
2025-09-08 20:02:00 UTC,1757361720000,878.1,878.12,878.09,878.12,17.902
2025-09-08 20:03:00 UTC,1757361780000,878.12,878.12,877.92,877.92,54.705
2025-09-08 20:04:00 UTC,1757361840000,877.93,877.93,877.64,877.65,81.448
2025-09-08 20:05:00 UTC,1757361900000,877.64,877.8,877.64,877.8,39.606
2025-09-08 20:06:00 UTC,1757361960000,877.8,877.99,877.8,877.99,15.009
2025-09-08 20:07:00 UTC,1757362020000,877.99,878.3,877.98,878.3,37.588
2025-09-08 20:08:00 UTC,1757362080000,878.3,878.31,878.3,878.3,7.182
2025-09-08 20:09:00 UTC,1757362140000,878.31,878.48,878.3,878.47,24.104
2025-09-08 20:10:00 UTC,1757362200000,878.48,878.48,878.39,878.39,28.043
2025-09-08 20:11:00 UTC,1757362260000,878.39,878.4,878.39,878.4,24.11
2025-09-08 20:12:00 UTC,1757362320000,878.39,878.4,878.05,878.06,37.983
2025-09-08 20:13:00 UTC,1757362380000,878.06,878.06,877.76,877.77,52.14
2025-09-08 20:14:00 UTC,1757362440000,877.77,877.95,877.76,877.94,16.373
2025-09-08 20:15:00 UTC,1757362500000,877.95,877.95,877.85,877.86,5.466
2025-09-08 20:16:00 UTC,1757362560000,877.86,877.86,877.85,877.85,9.145
2025-09-08 20:17:00 UTC,1757362620000,877.86,877.87,877.64,877.65,49.391
2025-09-08 20:18:00 UTC,1757362680000,877.65,877.65,877.56,877.57,32.663
2025-09-08 20:19:00 UTC,1757362740000,877.57,877.57,877.03,877.16,74.937
2025-09-08 20:20:00 UTC,1757362800000,877.15,877.28,877.15,877.28,22.748
2025-09-08 20:21:00 UTC,1757362860000,877.28,878.28,877.27,878.19,512.517
2025-09-08 20:22:00 UTC,1757362920000,878.2,878.2,878.0,878.2,46.264
2025-09-08 20:23:00 UTC,1757362980000,878.19,878.2,877.84,877.89,106.078
2025-09-08 20:24:00 UTC,1757363040000,877.89,877.93,877.72,877.93,36.544
2025-09-08 20:25:00 UTC,1757363100000,877.93,877.93,877.55,877.71,47.215
2025-09-08 20:26:00 UTC,1757363160000,877.72,878.2,877.71,878.19,52.065
2025-09-08 20:27:00 UTC,1757363220000,878.2,878.28,878.19,878.27,17.99
2025-09-08 20:28:00 UTC,1757363280000,878.28,878.28,878.2,878.25,23.576
2025-09-08 20:29:00 UTC,1757363340000,878.24,878.25,878.1,878.11,62.571
2025-09-08 20:30:00 UTC,1757363400000,878.11,878.19,878.03,878.03,46.557
2025-09-08 20:31:00 UTC,1757363460000,878.04,878.04,878.01,878.02,29.837
2025-09-08 20:32:00 UTC,1757363520000,878.02,878.27,878.01,878.23,93.73
2025-09-08 20:33:00 UTC,1757363580000,878.23,878.23,878.15,878.23,56.916
2025-09-08 20:34:00 UTC,1757363640000,878.23,878.3,878.22,878.3,22.882
2025-09-08 20:35:00 UTC,1757363700000,878.3,878.3,878.22,878.28,31.72
2025-09-08 20:36:00 UTC,1757363760000,878.27,878.27,878.24,878.24,5.305
2025-09-08 20:37:00 UTC,1757363820000,878.25,878.25,878.2,878.2,16.641
2025-09-08 20:38:00 UTC,1757363880000,878.2,878.21,878.16,878.16,9.261
2025-09-08 20:39:00 UTC,1757363940000,878.17,878.17,878.08,878.09,48.349
2025-09-08 20:40:00 UTC,1757364000000,878.09,878.34,878.08,878.34,131.007
2025-09-08 20:41:00 UTC,1757364060000,878.33,878.5,878.33,878.5,37.606
2025-09-08 20:42:00 UTC,1757364120000,878.49,878.5,878.34,878.34,38.53
2025-09-08 20:43:00 UTC,1757364180000,878.35,878.35,878.11,878.11,66.761
2025-09-08 20:44:00 UTC,1757364240000,878.11,878.12,878.11,878.11,7.336
2025-09-08 20:45:00 UTC,1757364300000,878.12,878.12,878.11,878.12,5.539
2025-09-08 20:46:00 UTC,1757364360000,878.12,878.12,878.11,878.12,34.332
2025-09-08 20:47:00 UTC,1757364420000,878.12,878.12,877.72,877.72,51.974
2025-09-08 20:48:00 UTC,1757364480000,877.73,877.77,877.72,877.76,30.369
2025-09-08 20:49:00 UTC,1757364540000,877.77,877.77,877.76,877.76,27.437
2025-09-08 20:50:00 UTC,1757364600000,877.77,878.1,877.76,878.01,96.771
2025-09-08 20:51:00 UTC,1757364660000,878.01,878.01,877.94,877.94,28.787
2025-09-08 20:52:00 UTC,1757364720000,877.95,878.02,877.94,878.02,32.979
2025-09-08 20:53:00 UTC,1757364780000,878.02,878.2,878.01,878.2,62.394
2025-09-08 20:54:00 UTC,1757364840000,878.2,878.24,878.19,878.24,30.456
2025-09-08 20:55:00 UTC,1757364900000,878.24,878.24,877.9,877.9,39.74
2025-09-08 20:56:00 UTC,1757364960000,877.91,877.91,877.9,877.9,26.184
2025-09-08 20:57:00 UTC,1757365020000,877.9,877.9,877.87,877.88,15.332
2025-09-08 20:58:00 UTC,1757365080000,877.88,877.92,877.88,877.92,10.297
2025-09-08 20:59:00 UTC,1757365140000,877.92,878.79,877.91,878.79,148.255
2025-09-08 21:00:00 UTC,1757365200000,878.79,878.79,878.38,878.5,88.035
2025-09-08 21:01:00 UTC,1757365260000,878.5,878.5,878.48,878.48,10.255
2025-09-08 21:02:00 UTC,1757365320000,878.48,878.48,878.05,878.06,32.817
2025-09-08 21:03:00 UTC,1757365380000,878.06,878.4,878.05,878.4,51.991
2025-09-08 21:04:00 UTC,1757365440000,878.4,878.4,878.38,878.38,10.236
2025-09-08 21:05:00 UTC,1757365500000,878.38,878.44,878.38,878.43,38.478
2025-09-08 21:06:00 UTC,1757365560000,878.43,878.44,878.26,878.27,34.802
2025-09-08 21:07:00 UTC,1757365620000,878.27,878.27,878.11,878.12,16.452
2025-09-08 21:08:00 UTC,1757365680000,878.12,878.3,878.11,878.3,66.904
2025-09-08 21:09:00 UTC,1757365740000,878.3,878.3,878.29,878.29,38.84
2025-09-08 21:10:00 UTC,1757365800000,878.3,878.4,878.29,878.4,37.217
2025-09-08 21:11:00 UTC,1757365860000,878.4,878.4,878.39,878.4,11.105
2025-09-08 21:12:00 UTC,1757365920000,878.39,878.4,878.39,878.39,24.235
2025-09-08 21:13:00 UTC,1757365980000,878.39,878.57,878.39,878.55,80.863
2025-09-08 21:14:00 UTC,1757366040000,878.54,879.3,878.52,879.23,304.577
2025-09-08 21:15:00 UTC,1757366100000,879.23,879.57,879.22,879.52,131.17
2025-09-08 21:16:00 UTC,1757366160000,879.53,879.53,879.36,879.42,28.808
2025-09-08 21:17:00 UTC,1757366220000,879.43,879.88,879.42,879.86,76.633
2025-09-08 21:18:00 UTC,1757366280000,879.86,879.87,879.85,879.85,39.432
2025-09-08 21:19:00 UTC,1757366340000,879.86,880.0,879.85,879.99,53.46
2025-09-08 21:20:00 UTC,1757366400000,880.0,880.0,879.72,879.72,30.383
2025-09-08 21:21:00 UTC,1757366460000,879.72,879.77,879.72,879.77,10.644
2025-09-08 21:22:00 UTC,1757366520000,879.77,879.84,879.76,879.84,10.905
2025-09-08 21:23:00 UTC,1757366580000,879.84,879.84,879.83,879.84,22.047
2025-09-08 21:24:00 UTC,1757366640000,879.84,879.84,879.7,879.8,27.253
2025-09-08 21:25:00 UTC,1757366700000,879.8,880.36,879.79,879.93,257.986
2025-09-08 21:26:00 UTC,1757366760000,879.93,880.47,879.92,880.45,60.045
2025-09-08 21:27:00 UTC,1757366820000,880.46,880.76,880.4,880.75,83.667
2025-09-08 21:28:00 UTC,1757366880000,880.76,880.8,880.4,880.8,77.916
2025-09-08 21:29:00 UTC,1757366940000,880.8,880.8,880.5,880.51,32.035
2025-09-08 21:30:00 UTC,1757367000000,880.51,880.74,880.5,880.74,78.212
2025-09-08 21:31:00 UTC,1757367060000,880.74,880.74,880.52,880.53,31.188
2025-09-08 21:32:00 UTC,1757367120000,880.53,880.53,880.44,880.45,8.178
2025-09-08 21:33:00 UTC,1757367180000,880.44,880.48,880.37,880.47,71.883
2025-09-08 21:34:00 UTC,1757367240000,880.48,880.48,880.47,880.47,14.621
2025-09-08 21:35:00 UTC,1757367300000,880.48,880.86,880.47,880.85,96.318
2025-09-08 21:36:00 UTC,1757367360000,880.86,880.99,880.85,880.98,44.188
2025-09-08 21:37:00 UTC,1757367420000,880.98,880.99,880.98,880.99,7.779
2025-09-08 21:38:00 UTC,1757367480000,880.99,881.29,880.98,881.27,85.686
2025-09-08 21:39:00 UTC,1757367540000,881.27,881.28,881.26,881.28,23.039
2025-09-08 21:40:00 UTC,1757367600000,881.27,881.37,881.2,881.33,83.479
2025-09-08 21:41:00 UTC,1757367660000,881.33,881.5,881.32,881.49,37.086
2025-09-08 21:42:00 UTC,1757367720000,881.48,881.75,881.39,881.74,76.85
2025-09-08 21:43:00 UTC,1757367780000,881.74,881.78,881.5,881.69,78.089
2025-09-08 21:44:00 UTC,1757367840000,881.69,881.7,881.2,881.2,111.767
2025-09-08 21:45:00 UTC,1757367900000,881.2,881.21,880.98,880.99,29.576
2025-09-08 21:46:00 UTC,1757367960000,880.99,880.99,880.98,880.98,17.576
2025-09-08 21:47:00 UTC,1757368020000,880.99,881.27,880.98,881.27,28.336
2025-09-08 21:48:00 UTC,1757368080000,881.28,881.71,881.28,881.7,68.358
2025-09-08 21:49:00 UTC,1757368140000,881.71,881.78,881.62,881.78,50.947
2025-09-08 21:50:00 UTC,1757368200000,881.78,881.85,881.65,881.84,48.419
2025-09-08 21:51:00 UTC,1757368260000,881.84,881.85,881.81,881.85,53.293
2025-09-08 21:52:00 UTC,1757368320000,881.85,881.85,881.56,881.75,119.791
2025-09-08 21:53:00 UTC,1757368380000,881.75,882.08,881.75,882.02,228.016
2025-09-08 21:54:00 UTC,1757368440000,882.02,882.03,882.01,882.03,18.975
2025-09-08 21:55:00 UTC,1757368500000,882.03,882.09,882.03,882.08,35.858
2025-09-08 21:56:00 UTC,1757368560000,882.09,882.2,882.09,882.2,117.043
2025-09-08 21:57:00 UTC,1757368620000,882.19,882.56,882.19,882.4,272.524
2025-09-08 21:58:00 UTC,1757368680000,882.41,882.41,882.4,882.4,15.488
2025-09-08 21:59:00 UTC,1757368740000,882.41,882.41,882.0,882.0,66.194
2025-09-08 22:00:00 UTC,1757368800000,882.01,882.4,881.92,882.01,70.934
2025-09-08 22:01:00 UTC,1757368860000,882.01,882.24,881.81,882.24,94.539
2025-09-08 22:02:00 UTC,1757368920000,882.24,882.24,881.44,881.45,71.939
2025-09-08 22:03:00 UTC,1757368980000,881.45,881.91,881.3,881.31,88.387
2025-09-08 22:04:00 UTC,1757369040000,881.3,881.42,880.8,880.84,50.339
2025-09-08 22:05:00 UTC,1757369100000,880.84,881.16,880.84,880.97,17.753
2025-09-08 22:06:00 UTC,1757369160000,880.97,881.18,880.85,881.17,27.441
2025-09-08 22:07:00 UTC,1757369220000,881.18,881.18,880.98,881.08,27.043
2025-09-08 22:08:00 UTC,1757369280000,881.07,881.85,881.07,881.85,82.192
2025-09-08 22:09:00 UTC,1757369340000,881.85,881.92,881.84,881.92,23.623
2025-09-08 22:10:00 UTC,1757369400000,881.91,882.1,881.21,881.7,234.11
2025-09-08 22:11:00 UTC,1757369460000,881.7,881.71,881.52,881.66,134.658
2025-09-08 22:12:00 UTC,1757369520000,881.66,881.79,881.66,881.67,57.583
2025-09-08 22:13:00 UTC,1757369580000,881.67,881.67,881.13,881.47,245.49
2025-09-08 22:14:00 UTC,1757369640000,881.47,881.52,881.08,881.18,101.375
2025-09-08 22:15:00 UTC,1757369700000,881.18,881.18,880.76,880.83,106.953
2025-09-08 22:16:00 UTC,1757369760000,880.83,880.92,880.83,880.89,153.643
2025-09-08 22:17:00 UTC,1757369820000,880.9,881.5,880.89,881.37,137.814
2025-09-08 22:18:00 UTC,1757369880000,881.37,881.37,881.12,881.13,25.045
2025-09-08 22:19:00 UTC,1757369940000,881.13,881.13,881.0,881.01,15.72
2025-09-08 22:20:00 UTC,1757370000000,881.01,881.01,880.84,880.84,78.78
2025-09-08 22:21:00 UTC,1757370060000,880.83,880.84,880.7,880.71,41.925
2025-09-08 22:22:00 UTC,1757370120000,880.71,880.71,880.44,880.44,22.547
2025-09-08 22:23:00 UTC,1757370180000,880.45,880.6,880.3,880.52,169.736
2025-09-08 22:24:00 UTC,1757370240000,880.52,880.53,880.47,880.47,64.666
2025-09-08 22:25:00 UTC,1757370300000,880.47,880.48,880.31,880.31,37.451
2025-09-08 22:26:00 UTC,1757370360000,880.32,880.32,880.16,880.32,35.68
2025-09-08 22:27:00 UTC,1757370420000,880.33,880.52,880.21,880.21,57.417
2025-09-08 22:28:00 UTC,1757370480000,880.21,880.22,880.0,880.01,25.456
2025-09-08 22:29:00 UTC,1757370540000,880.01,880.01,879.87,879.88,23.981
2025-09-08 22:30:00 UTC,1757370600000,879.88,880.24,879.87,880.13,196.73
2025-09-08 22:31:00 UTC,1757370660000,880.13,880.23,879.93,880.23,99.254
2025-09-08 22:32:00 UTC,1757370720000,880.23,880.23,880.12,880.22,21.991
2025-09-08 22:33:00 UTC,1757370780000,880.22,880.22,880.15,880.16,19.927
2025-09-08 22:34:00 UTC,1757370840000,880.16,880.16,880.0,880.12,29.845
2025-09-08 22:35:00 UTC,1757370900000,880.13,880.13,879.9,879.98,27.553
2025-09-08 22:36:00 UTC,1757370960000,879.98,879.98,879.5,879.51,85.999
2025-09-08 22:37:00 UTC,1757371020000,879.51,879.51,879.24,879.26,72.516
2025-09-08 22:38:00 UTC,1757371080000,879.27,879.5,879.26,879.5,84.064
2025-09-08 22:39:00 UTC,1757371140000,879.5,879.56,879.49,879.55,11.181
2025-09-08 22:40:00 UTC,1757371200000,879.55,879.56,879.55,879.56,6.735
2025-09-08 22:41:00 UTC,1757371260000,879.56,879.61,879.55,879.6,83.759
2025-09-08 22:42:00 UTC,1757371320000,879.61,879.67,879.6,879.67,3.526
--- HISTORICAL DATA ENDS / LIVE WEBSOCKET DATA BEGINS ---,---,---,---,---,---,---
2025-09-08 22:42:00 UTC,1757371320000,879.61,879.67,879.6,879.67,3.748
2025-09-08 22:43:00 UTC,1757371380000,879.66,879.67,879.66,879.67,15.251
2025-09-08 22:44:00 UTC,1757371440000,879.66,879.77,879.66,879.77,40.026
2025-09-08 22:45:00 UTC,1757371500000,879.76,879.77,879.76,879.76,11.605
2025-09-08 22:46:00 UTC,1757371560000,879.77,879.77,879.01,879.01,164.675
2025-09-08 22:47:00 UTC,1757371620000,879.01,879.01,878.56,878.56,27.879
2025-09-08 22:48:00 UTC,1757371680000,878.56,878.57,878.56,878.56,33.152
2025-09-08 22:49:00 UTC,1757371740000,878.57,878.57,878.56,878.57,3.532
2025-09-08 22:50:00 UTC,1757371800000,878.57,878.57,878.56,878.57,46.689
2025-09-08 22:51:00 UTC,1757371860000,878.56,878.57,878.32,878.49,67.358
2025-09-08 22:52:00 UTC,1757371920000,878.5,878.5,878.4,878.4,14.642
2025-09-08 22:53:00 UTC,1757371980000,878.41,879.16,878.4,879.16,64.451
